0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,3,4,5,6,7,8,9,data_type,f_max,f_min,recording_id,songtype_id,species_id,t_max,t_min,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,ranking,top_id
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,2bf32cf03,1.0,8.0,25.1573,21.0347,12,8,3,13,16,4,22,21,0,5,14,17,23,2,1,9,18,20,10,19,11,6,15,7,1,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,10406.2,4781.25,2c2127b9e,1.0,5.0,12.16,9.808,5,3,23,9,6,7,12,10,2,19,17,22,15,11,16,20,14,1,0,18,8,21,13,4,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,2cd09cfab,1.0,11.0,58.5317,57.3939,11,6,9,17,3,7,10,23,22,2,20,5,16,14,19,15,21,1,18,0,8,12,13,4,0,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,2d09eb065,1.0,15.0,10.352,7.007999999999999,17,19,15,7,3,9,11,16,13,4,14,8,21,18,5,20,12,2,0,1,6,23,22,10,2,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,2dacf9479,1.0,21.0,49.7813,48.688,21,8,4,14,18,12,13,1,0,3,9,16,17,20,6,22,2,10,11,23,19,15,5,7,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,2dc763e67,1.0,2.0,27.9253,26.1493,2,3,22,17,13,16,12,5,8,21,15,6,19,4,23,7,9,14,0,18,20,1,11,10,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,2df1f109b,1.0,13.0,8.6507,8.0267,13,1,19,16,17,15,9,12,11,2,4,3,18,10,8,22,14,5,23,7,0,6,20,21,0,20
,,,,,,,,,,,,,,,,,,,,,,,,tp,7500.0,5906.25,2e40b2294,1.0,0.0,58.0213,56.7307,3,0,12,18,17,23,6,5,9,8,14,16,1,20,2,11,4,10,22,15,7,21,13,19,1,1
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,2f40810b2,4.0,16.0,47.792,45.9573,3,16,12,1,18,4,21,9,14,23,8,22,11,6,15,2,17,0,5,10,13,20,7,19,1,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,3051fc9d0,1.0,15.0,41.4133,38.0693,15,17,22,3,14,20,6,7,11,12,16,18,1,9,2,23,5,0,19,4,10,21,13,8,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,5718.75,2343.75,321c09a90,1.0,20.0,59.5733,56.1333,22,20,23,7,9,3,6,11,10,14,5,16,15,17,1,12,2,21,19,0,8,18,4,13,1,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,3346f84ee,1.0,11.0,37.1926,36.0548,11,17,7,3,23,9,6,22,16,10,15,14,2,19,12,1,21,0,18,20,5,8,4,13,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,33d0f2685,4.0,16.0,39.7707,37.936,16,7,3,9,20,23,17,11,22,10,15,1,6,12,5,14,4,2,0,18,8,19,21,13,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,35b60a4a0,1.0,13.0,14.6987,14.0747,13,4,21,12,1,18,14,8,22,3,19,16,2,17,15,0,11,6,9,10,23,5,20,7,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,368be0579,1.0,3.0,55.9733,55.232,14,3,9,1,7,17,22,23,15,16,12,11,6,5,20,0,21,10,2,8,18,4,19,13,1,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,5684.77,1808.79,373f470c4,1.0,11.0,6.8847,5.7469,11,19,6,23,7,17,9,2,3,10,16,15,14,22,0,18,12,20,21,13,1,8,4,5,0,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,37b6d1db9,1.0,23.0,49.4817,43.3981,23,22,9,4,3,5,7,10,14,2,8,21,6,15,20,12,0,1,16,17,11,13,19,18,0,16
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,3ca3a1b6a,1.0,21.0,22.448,21.3547,21,8,4,14,18,13,12,17,0,9,20,3,6,16,2,1,22,15,23,10,11,19,5,7,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,3dc230571,1.0,21.0,21.0827,19.9893,21,8,4,14,17,18,13,12,0,9,20,6,2,3,19,23,11,10,22,15,16,1,5,7,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,3ebc2aebe,1.0,15.0,30.368000000000002,27.024,3,9,15,1,12,23,6,14,8,0,5,17,7,11,16,18,2,21,20,22,10,4,13,19,2,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,3f48c15dc,1.0,10.0,41.4766,39.0327,10,23,11,22,9,6,14,3,18,16,4,17,5,7,2,12,13,21,19,15,0,20,1,8,0,20
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,3f5f4aa9a,1.0,12.0,26.72,23.584,12,23,0,3,8,5,9,18,22,15,1,14,7,10,13,17,6,20,4,16,11,2,21,19,0,2
,,,,,,,,,,,,,,,,,,,,,,,,tp,13687.5,10687.5,3fa666880,1.0,22.0,57.1787,55.5733,22,3,6,9,23,14,2,11,5,1,21,4,16,7,10,17,12,13,8,15,20,0,18,19,0,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1312.5,400b7210c,1.0,17.0,42.3573,35.904,17,19,7,3,9,15,20,16,11,23,4,13,1,8,14,18,21,0,2,10,6,5,22,12,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,6093.75,1312.5,408314767,1.0,20.0,54.7467,49.3653,20,17,16,3,9,2,13,19,7,1,4,10,11,0,14,18,15,8,12,5,21,22,23,6,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,41e6d9f63,4.0,16.0,2.7413,0.9067,16,3,1,17,9,7,14,11,0,18,2,10,5,21,6,15,4,23,20,12,22,13,19,8,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,42ea7a091,1.0,18.0,35.6587,34.9653,12,4,3,18,14,13,21,16,8,1,0,6,5,9,23,2,22,19,20,17,11,10,15,7,3,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,43b27b5ab,1.0,18.0,24.191999999999997,23.4987,4,18,13,12,3,21,14,16,8,0,1,19,6,2,5,23,20,9,15,11,17,22,10,7,1,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,3000.0,468.75,43d34d63c,1.0,2.0,11.7387,9.9627,7,15,2,22,23,9,10,11,5,3,6,17,14,20,19,16,12,21,4,18,8,1,0,13,2,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,447409a6b,1.0,0.0,26.6667,25.872,0,18,4,14,12,3,13,8,21,5,1,23,9,2,10,6,20,11,16,17,22,15,19,7,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,459513f88,1.0,8.0,56.06399999999999,51.9413,4,8,18,12,14,21,13,3,0,1,9,6,16,19,5,23,20,2,11,22,17,15,10,7,1,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,45eabd218,1.0,23.0,29.53,23.4464,23,3,9,6,11,16,7,17,1,2,5,14,12,15,8,22,20,0,4,10,21,19,18,13,0,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,5718.75,2343.75,48fb5143f,1.0,20.0,27.8507,24.4107,20,17,9,15,7,3,2,22,16,18,19,23,0,12,5,10,11,14,13,8,6,1,4,21,0,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,49b80ec61,4.0,16.0,26.1013,24.2667,16,1,3,9,17,12,7,11,15,18,4,14,2,23,13,20,21,6,0,5,8,10,22,19,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,4afa51495,1.0,10.0,51.943000000000005,49.4991,10,3,7,22,9,23,1,11,5,15,6,17,20,14,16,12,2,8,0,19,21,4,18,13,0,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,6093.75,1312.5,4b4c2901c,1.0,20.0,51.9307,46.5493,20,9,3,17,6,7,14,18,11,2,23,12,0,1,15,10,8,5,16,22,19,13,21,4,0,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,4bc00de61,1.0,23.0,29.1933,23.1097,23,9,3,7,4,8,22,14,6,5,20,2,11,21,17,10,1,15,13,19,16,0,12,18,0,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,4c845907b,1.0,12.0,43.504,40.368,12,0,18,3,4,13,8,14,16,1,5,21,6,9,23,2,19,10,22,11,20,15,17,7,0,1
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1312.5,4df50c66e,1.0,17.0,10.9387,4.4853,17,3,7,9,16,20,6,15,4,22,8,23,2,21,10,11,5,19,13,0,1,18,14,12,0,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,562.5,4e464ff6b,1.0,6.0,50.8053,48.6613,19,6,9,17,11,3,22,23,7,20,15,0,16,10,2,18,21,14,13,12,1,5,8,4,1,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,4218.75,2343.75,4e90ab2fb,1.0,4.0,54.8587,53.0027,4,8,13,18,12,3,21,0,16,14,17,1,19,20,6,9,2,11,15,5,23,22,10,7,0,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,4ef096b89,4.0,23.0,20.4219,12.4981,3,23,12,9,7,1,18,14,6,16,15,5,8,17,11,22,21,2,0,4,10,20,19,13,1,18
,,,,,,,,,,,,,,,,,,,,,,,,tp,843.75,93.75,4fae9a4ea,1.0,13.0,29.3387,28.7147,13,21,4,14,18,3,1,12,8,0,9,2,16,22,19,15,23,6,11,10,17,5,20,7,0,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,50f616a04,1.0,0.0,45.84,45.0453,0,18,12,8,3,4,13,14,5,6,10,23,2,20,9,21,1,15,22,11,16,19,17,7,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,51319c540,1.0,10.0,7.4652,5.0213,10,6,13,23,15,3,11,5,9,16,14,0,12,2,17,22,8,19,7,20,21,18,1,4,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,4593.75,3093.75,5281fc845,4.0,16.0,9.456,7.6213,16,3,1,17,9,14,12,7,11,18,2,0,15,21,20,23,6,5,10,4,13,22,8,19,0,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,53e4f09ab,1.0,8.0,23.9733,19.8507,12,3,8,13,4,16,14,21,0,1,5,18,2,9,17,22,23,20,19,6,11,10,15,7,2,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,5407d8c89,1.0,8.0,28.0533,23.9307,0,18,8,4,12,23,14,3,21,13,5,1,2,20,6,9,10,15,22,11,19,16,17,7,2,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,2812.5,55648ef63,1.0,14.0,54.8,53.8773,14,21,1,3,7,9,13,16,5,8,4,6,18,23,0,12,11,17,2,15,20,10,22,19,0,14
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,560ccf19c,1.0,0.0,16.1867,15.392000000000001,12,8,18,1,0,3,4,14,9,13,5,21,10,22,6,16,20,23,15,2,17,11,19,7,4,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,5635d4cbe,1.0,21.0,25.2053,24.112,14,21,4,18,1,3,8,0,9,13,12,6,5,23,2,16,20,11,19,22,17,10,15,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,5723a520c,1.0,12.0,13.3333,10.1973,3,22,12,23,5,9,6,14,16,18,4,0,1,11,2,21,8,13,17,15,10,20,19,7,2,11
,,,,,,,,,,,,,,,,,,,,,,,,tp,8250.0,5906.25,57ff372f3,1.0,0.0,34.3413,33.5467,0,12,3,1,8,18,9,16,4,2,13,10,6,5,14,23,20,15,22,21,7,11,17,19,0,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,5857d6f6d,1.0,1.0,18.1867,17.2907,3,16,1,14,12,9,21,4,18,2,17,23,8,11,13,15,20,0,6,5,22,10,19,7,2,17
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,59a9eb657,4.0,23.0,56.3722,48.4484,23,4,9,3,12,8,7,0,15,18,22,16,13,5,1,14,2,10,21,11,20,6,19,17,0,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,4406.25,562.5,5ac6b1e85,1.0,6.0,52.1493,50.0053,3,1,9,6,15,23,17,2,19,0,7,16,5,14,11,21,12,8,10,18,4,20,22,13,3,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1312.5,5bfe1dec6,1.0,17.0,38.528,32.0747,17,9,3,7,4,13,8,19,20,21,15,18,0,2,14,1,23,6,5,10,22,12,16,11,0,12
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,5cd1a3c29,1.0,12.0,45.9147,42.7787,12,3,9,5,2,23,18,8,0,14,16,4,11,10,22,1,6,21,13,7,15,20,17,19,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,5d61b5cce,1.0,8.0,49.3493,45.2267,21,8,14,4,18,13,12,0,17,3,9,20,1,16,6,2,19,11,15,10,23,22,5,7,1,7
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,5f8eecc9e,4.0,23.0,58.9322,51.0084,9,23,0,12,3,13,18,17,15,1,8,20,7,14,21,4,5,2,22,10,16,6,11,19,1,2
,,,,,,,,,,,,,,,,,,,,,,,,tp,10406.2,4781.25,606f1e495,1.0,5.0,15.0133,12.6613,3,10,6,5,17,9,23,11,7,12,14,15,2,0,16,22,20,13,8,19,18,1,21,4,3,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,6093f0100,1.0,15.0,5.5893,2.2453,12,3,15,18,16,9,5,14,17,2,13,4,6,0,1,8,23,11,19,22,20,10,21,7,2,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,4125.0,3281.25,60b260508,1.0,21.0,54.6987,53.6053,21,8,4,14,13,18,17,12,9,20,0,3,2,1,6,22,16,19,11,15,23,10,5,7,0,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,617d4dbbd,1.0,12.0,3.8080000000000003,0.672,12,3,18,8,0,5,9,1,16,14,13,4,6,23,17,2,21,15,20,22,11,10,19,7,0,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,619a7af56,1.0,15.0,53.1253,49.7813,15,3,9,17,12,7,6,18,14,2,0,1,16,23,11,4,20,19,21,22,5,8,13,10,0,10
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,621dc03b6,1.0,3.0,18.4747,17.7333,2,12,3,16,9,5,6,15,8,23,19,18,17,13,11,1,22,14,10,21,0,4,20,7,2,20
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,6346c01fa,1.0,18.0,15.744000000000002,15.0507,18,12,4,3,0,14,13,21,8,5,1,16,23,6,9,19,2,20,22,17,15,10,11,7,0,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,5531.25,3750.0,697f7210b,1.0,8.0,7.087999999999999,2.9653,12,4,8,21,18,14,13,3,0,16,22,5,1,10,9,17,19,6,2,23,20,11,15,7,2,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,5718.75,2343.75,69aacafc4,1.0,20.0,43.263999999999996,39.824,20,7,23,9,22,3,10,2,19,11,16,13,15,5,12,17,18,1,14,8,4,6,0,21,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,6a0ac2d09,1.0,23.0,21.2405,15.1568,23,3,6,20,9,12,7,15,2,8,14,1,22,16,4,0,17,11,5,18,21,19,10,13,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,1031.25,6c4ce1cf2,1.0,3.0,12.2187,11.4773,12,4,18,14,13,3,21,8,9,0,5,6,22,1,16,17,20,19,23,2,10,11,15,7,5,9
,,,,,,,,,,,,,,,,,,,,,,,,tp,2812.5,281.25,6c660a505,1.0,19.0,53.3227,51.7707,19,11,6,7,9,17,22,10,23,3,16,5,15,20,14,2,12,1,13,18,21,4,0,8,0,22
,,,,,,,,,,,,,,,,,,,,,,,,tp,11437.5,4687.5,6eb03e9ca,1.0,7.0,12.9387,9.7973,11,7,9,3,16,17,22,10,23,6,15,20,14,19,12,2,1,5,18,0,4,21,8,13,1,19
,,,,,,,,,,,,,,,,,,,,,,,,tp,3281.25,562.5,706e6f1e8,1.0,12.0,56.1547,53.0187,12,23,3,8,9,4,13,14,16,5,21,1,2,0,18,22,10,6,15,19,17,11,20,7,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,5718.75,2343.75,70c289aa5,1.0,20.0,34.5707,31.1307,20,7,22,23,10,2,15,16,11,19,3,6,9,13,5,12,18,4,1,8,14,0,17,21,0,21
,,,,,,,,,,,,,,,,,,,,,,,,tp,1125.0,93.75,710177a21,1.0,15.0,53.5573,50.2133,13,12,15,3,0,1,17,9,5,8,23,19,18,14,4,10,2,6,11,22,16,20,7,21,2,4
,,,,,,,,,,,,,,,,,,,,,,,,tp,11283.4,7235.16,71db64300,1.0,23.0,25.391,19.3074,23,9,7,3,12,22,14,4,8,5,16,10,1,0,2,15,11,21,18,6,17,20,19,13,0,13
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1406.25,7277aa5a8,4.0,17.0,58.1387,55.5307,17,6,9,7,3,16,20,4,13,19,15,8,11,21,14,0,18,10,1,2,23,5,22,12,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,10852.7,947.461,728459067,1.0,10.0,6.6583,4.2144,10,11,17,6,20,9,3,7,16,23,14,22,15,12,2,0,5,18,13,19,8,1,4,21,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,11627.9,6459.96,737d85472,4.0,23.0,37.239000000000004,29.3152,23,3,7,20,9,22,16,8,1,14,2,4,5,12,17,0,15,11,6,10,21,19,18,13,0,15
,,,,,,,,,,,,,,,,,,,,,,,,tp,5625.0,3843.75,7448edc55,1.0,1.0,21.055999999999997,20.16,0,12,3,14,18,8,9,21,1,5,4,23,13,6,10,20,22,15,2,17,16,11,19,7,8,0
,,,,,,,,,,,,,,,,,,,,,,,,tp,5062.5,3187.5,7478fd629,1.0,18.0,38.6293,37.936,18,4,0,12,3,13,14,21,8,6,23,16,20,17,15,22,5,19,2,1,9,10,11,7,0,2
,,,,,,,,,,,,,,,,,,,,,,,,tp,4218.75,2343.75,750e35881,1.0,4.0,52.912,51.056000000000004,4,18,14,21,12,13,3,8,0,6,23,1,5,19,22,16,2,20,9,11,10,15,17,7,0,8
,,,,,,,,,,,,,,,,,,,,,,,,tp,3937.5,1406.25,755d6c7eb,4.0,17.0,17.0507,14.4427,17,9,3,6,7,15,1,18,0,14,23,12,22,2,16,20,21,4,11,8,10,5,13,19,0,8
